Name,Date & Time,Location,Type,Region
Seattle Sounders FC vs. Portland Timbers,10/19/2024, Lumen Field,Sports,Pioneer Square
Sebastian Maniscalco,10/25/2024, Climate Pledge Arena,Theatre,Queen Anne / Seattle Center
Frye Salon,Now through 10/27/2024, Frye Art Museum,Museums,Capitol Hill / Central District
On Native Land: Landscapes from the Haub Family Collection,Now through 11/17/2024, Tacoma Art Museum,Museums,South
Joyce J. Scott: Walk a Mile in My Dreams,10/17/2024 through 1/20/2025, Seattle Art Museum,Museums,Downtown
Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026, Bellevue Arts Museum,Museums,Bellevue / Eastside
Explore The Market,Ongoing, Pike Place Market,Festivals & Special Events,Downtown
Olympic Sculpture Park,Ongoing, Olympic Sculpture Park,Visual Arts & Galleries,Downtown
Infinite Worlds of Science Fiction,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
John Grade: Middle Fork,Ongoing, Seattle Art Museum,Museums,Downtown
Scared to Death: The Thrill of Horror Film,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Nirvana: Taking Punk To the Masses,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Vietnam Divided: War Above Southeast Asia,Ongoing, The Museum of Flight,Museums,South Seattle
Science Fiction and Fantasy Hall of Fame,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing, Wing Luke Museum,Museums,International District
Honoring Our Journey,Ongoing, Wing Luke Museum,Museums,International District
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing, Museum of Glass,Museums,South
